GENESIS-Tabelle: 21311-0003
Students: Germany, semester, nationality, sex, subject;;;;;;;;;;;
Statistics of students;;;;;;;;;;;
Germany;;;;;;;;;;;
Students (number);;;;;;;;;;;
;;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;;Male;Female;Total;Male;Female;Total;Male;Female;Total
WT 1998/99;SF128;Physics;21735;3475;25210;1716;435;2151;23451;3910;27361
WT 1999/00;SF128;Physics;19988;3584;23572;1754;464;2218;21742;4048;25790
WT 2000/01;SF128;Physics;19130;3787;22917;1884;533;2417;21014;4320;25334
WT 2001/02;SF128;Physics;19799;4177;23976;2051;609;2660;21850;4786;26636
WT 2002/03;SF128;Physics;20857;4606;25463;2336;683;3019;23193;5289;28482
WT 2003/04;SF128;Physics;22319;4886;27205;2537;799;3336;24856;5685;30541
WT 2004/05;SF128;Physics;21303;4628;25931;2501;849;3350;23804;5477;29281
WT 2005/06;SF128;Physics;22580;4939;27519;2479;906;3385;25059;5845;30904
WT 2006/07;SF128;Physics;22656;4750;27406;2219;841;3060;24875;5591;30466
WT 2007/08;SF128;Physics;22685;4769;27454;2244;859;3103;24929;5628;30557
WT 2008/09;SF128;Physics;23259;5039;28298;2267;898;3165;25526;5937;31463
WT 2009/10;SF128;Physics;24018;5369;29387;2401;933;3334;26419;6302;32721
WT 2010/11;SF128;Physics;25138;5951;31089;2540;1000;3540;27678;6951;34629
WT 2011/12;SF128;Physics;28033;6765;34798;2799;1147;3946;30832;7912;38744
WT 2012/13;SF128;Physics;29720;8560;38280;2952;1294;4246;32672;9854;42526
WT 2013/14;SF128;Physics;31204;10036;41240;3232;1430;4662;34436;11466;45902
WT 2014/15;SF128;Physics;31519;10860;42379;3592;1601;5193;35111;12461;47572
WT 2015/16;SF128;Physics;31520;11318;42838;3846;1791;5637;35366;13109;48475
WT 2016/17;SF128;Physics;31760;12117;43877;4181;1973;6154;35941;14090;50031
WT 2017/18;SF128;Physics;31934;12545;44479;4442;2068;6510;36376;14613;50989
WT 2018/19;SF128;Physics;31275;12723;43998;4810;2268;7078;36085;14991;51076
__________
© Federal Statistical Office, Wiesbaden 2020
created: 2020-05-31 / 21:23:33
